name,address,number_,geo_point_2d,latitud,longitud
243_ALBACETE_ESQ_MALUQUER,Albacete - Maluquer,243,"39.46282029901061,-0.3845424236611566",39.46282029901061,-0.3845424236611566
244_AVDA_PIO_BAROJA_VALLE_DE_LA_BALLESTERA,Valle de la Ballestera - Pio Baroja,244,"39.47850636088407,-0.40613648554970433",39.47850636088407,-0.40613648554970433
245_9_DE_OCTUBRE_CIEZA,Nueve de Octubre - Cieza,245,"39.47213024806011,-0.40527029936434095",39.47213024806011,-0.40527029936434095
246_AVDA_TRES_CRUCES_ENTRADA_HOSPITAL_GENERAL,Tres Cruces - Hospital General,246,"39.469090330003425,-0.4065094941412157",39.469090330003425,-0.4065094941412157
247_AVDA_TRES_CRUCES_MUSICO_AYLLON,Tres Cruces - Músico Ayllón,247,"39.467410323935766,-0.4055734914728698",39.467410323935766,-0.4055734914728698
248_AVDA_TRES_CRUCES_JOSE_MARIA_MORTES_LERMA,Tres Cruces - Jose Maria Mortes Lerma,248,"39.46284030885798,-0.40496949382893443",39.46284030885798,-0.40496949382893443
249_AVDA_TRES_CRUCES_SEGUNDA_REPUBLICA_ESPAÑOLA,Tres Cruces - Segunda República Española,249,"39.459506295875165,-0.4027404883331656",39.459506295875165,-0.4027404883331656
025_CALLE_DEL_ALBERIC,"Alberique, 18 (Abastos)",25,"39.46772931656263,-0.38861043334080225",39.46772931656263,-0.38861043334080225
250_AVDA_TRES_CRUCES_PIO_XI,Tres Cruces - Pio XI,250,"39.456352245577065,-0.4008070181198941",39.456352245577065,-0.4008070181198941
251_ARQUITECTO_SEGURA_LAGO_CAMINO_NUEVO_DE_PICAÑA,Arquitecto Segura del Lago - Camino Nuevo de Picaña,251,"39.45583028505104,-0.4044134972721287",39.45583028505104,-0.4044134972721287
252_DE_LOS_GREMIOS_CAMPOS_CRESPO,Dels Gremis - Campos Crespo,252,"39.45028826570709,-0.40357449843597065",39.45028826570709,-0.40357449843597065
253_PLAZA_JOSE_MELIA_CASTELLO_CAMPOS_CRESPO,José Meliá Castelló - Campos Crespo,253,"39.45272627278094,-0.4011014879360589",39.45272627278094,-0.4011014879360589
254_AVDA_DR_TOMAS_SALA_CARTEROS,Doctor Tomás Sala - Carteros,254,"39.447714251158565,-0.3899174536874086",39.447714251158565,-0.3899174536874086
255_SAN_VICENTE_MARTIR_TOMAS_DE_VILLAROYA,Tomas de Villarroya - San Vicente,255,"39.447703249066144,-0.38602944085901075",39.447703249066144,-0.38602944085901075
256_AVDA_TRES_FORQUES_TURIS,Tres Forques - Turís,256,"39.46396330656933,-0.39223544845537966",39.46396330656933,-0.39223544845537966
